assigned_to,component,creation_time,id,keywords,last_change_time,priority,product,resolution,severity,status,summary,whiteboard
"{u'name': u'francisco.jordano', u'real_name': u'Francisco Jordano [:arcturus] (on PTO till 19th May)'}",Gaia::Contacts,2013-11-08T15:22:04Z,936494,[u'regression'],2014-01-20T19:48:07Z,--,Firefox OS,FIXED,normal,VERIFIED,String not showing correctly after export to SD card,[fromAutomation][xfail]
"{u'name': u'jhford', u'real_name': u""John Ford [:jhford] -- please use 'needinfo?' instead of a CC""}",Gaia::Dialer,2013-03-26T20:44:18Z,855039,[],2013-06-07T23:04:20Z,--,Firefox OS,FIXED,major,VERIFIED,Adding a contact via dialer - phone number is not saved against the contact.,[fromAutomation]
"{u'name': u'jmcf', u'real_name': u'Jose Manuel Cantera'}",Gaia::Contacts,2013-04-16T13:56:27Z,862338,[u'regression'],2013-04-23T10:57:14Z,--,Firefox OS,WORKSFORME,normal,VERIFIED,"contacts settings Done button not working after activating ""Order by last name""",[fromAutomation]
"{u'name': u'mhabicher', u'real_name': u'Mike Habicher [:mikeh]'}",Gaia::Camera,2013-08-27T13:49:14Z,909746,"[u'regression', u'smoketest']",2014-02-21T07:05:31Z,--,Firefox OS,FIXED,major,VERIFIED,[Buri][Unagi] Camera app hangs and doesn't start,[fromAutomation][MEDIA_TRIAGED]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Dialer,2013-07-01T15:38:21Z,888936,[u'regression'],2013-07-03T15:28:05Z,--,Firefox OS,FIXED,normal,VERIFIED,[MMI] IMEI is not displayed on v1-train,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Gallery,2013-08-05T10:55:52Z,901475,[],2013-08-07T13:45:33Z,--,Firefox OS,WORKSFORME,normal,VERIFIED,Can't view a full screen  image in gallery,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-09-09T10:52:02Z,914091,[u'regression'],2013-09-23T03:03:16Z,--,Firefox OS,FIXED,normal,VERIFIED,"Tapping an app in ""App Permissions"" panel returns blank page",[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-09-26T00:53:40Z,920853,[],2013-09-26T13:18:42Z,--,Firefox OS,FIXED,normal,VERIFIED,English keyboard is not selectable in Settings::Keyboards,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Browser,2013-10-24T14:39:25Z,930545,[u'regression'],2013-11-11T20:42:47Z,--,Firefox OS,FIXED,normal,VERIFIED,[Browser] Adding a bookmark to home screen test fails,[fromAutomation][xfail]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2014-01-28T19:36:58Z,964918,[],2014-02-15T04:22:37Z,--,Firefox OS,FIXED,normal,VERIFIED,"test_kill / test_kill_multiple fails with JavascriptException: TypeError: this._activeApp is undefined / app://system.gaiamobile.org/js/app_window_manager.js, line 516",[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2014-02-12T14:38:01Z,971696,"[u'regression', u'smoketest']",2014-04-26T20:18:57Z,--,Firefox OS,FIXED,normal,VERIFIED,[v1.3][Cost Control] No data usage is available in notification bar or app,[fromAutomation][mwcdemo2014]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Build,2014-04-24T00:24:30Z,1000617,"[u'qablocker', u'regression']",2014-05-01T17:57:20Z,--,Firefox OS,FIXED,blocker,VERIFIED,"Flashing Hamachis with latest Tinderbox build from mozilla-central runs out of disk space (1.3 is fine, same devices!)",[fromAutomation]
"{u'name': u'vchang', u'real_name': u'Vincent Chang[:vchang]'}",Gaia::Browser,2013-03-12T18:42:41Z,850313,"[u'regression', u'smoketest']",2013-07-15T14:28:32Z,--,Firefox OS,FIXED,normal,VERIFIED,[B2G][Browser] Cannot browse via the cellular network after manual flash Unagi,[fromAutomation]
"{u'name': u'salva', u'real_name': u'Salvador de la Puente Gonz\xe1lez [:salva]'}",Gaia::Cost Control,2013-06-28T10:23:10Z,888206,[u'regression'],2013-07-23T20:38:49Z,P1,Firefox OS,FIXED,major,VERIFIED,[Cost Control] Start-up process crashes trying to load an nonexistent balance configuration causing settings UI to crash as well.,[fromAutomation][LeoVB+]
